user_id,start_date,seq_number,event_reason,businessunit,company,location,division,job_code,job_family,group_job,hiresource,contract_id,contract_name,degreeofproductivity
1001,2024-08-12,1,Hiring,Sales,Novaryn Tech,Novaryn Tech - Marseille,Commercial,CSM-SALES,Customer Success,Operations,Indeed,CTR-NVT-00001,Permanent,74.58
1001,2025-09-20,2,Data Change,Sales,Novaryn Tech,Novaryn Tech - Marseille,Commercial,CSM-SALES,Customer Success,Operations,Other,,Permanent,95.75
1002,2015-10-18,1,Hiring,Engineering,Novaryn Tech,Novaryn Tech - Paris,Technology,BACK-ENG,Software Engineering,Technical,Referral,CTR-NVT-00002,Permanent,87.3
1002,2021-09-19,2,Promotion,Engineering,Novaryn Tech,Novaryn Tech - Paris,Technology,SR-BACK-ENG,Software Engineering,Technical,Other,,Permanent,90.89
1002,2024-10-03,3,Promotion,Engineering,Novaryn Tech,Novaryn Tech - Paris,Technology,LEAD-BACK-ENG,Software Engineering,Technical,Other,,Permanent,82.98
1003,2013-09-28,1,Hiring,HR,Novaryn Tech,Novaryn Tech - Lyon,People & Culture,PAYROLL-OP,Payroll,Operations,Headhunter,CTR-NVT-00003,Permanent,72.8
1003,2016-09-30,2,Promotion,HR,Novaryn Tech,Novaryn Tech - Lyon,People & Culture,CONF-PAYROLL-OP,Payroll,Operations,Other,,Permanent,86.95
1003,2019-10-20,3,Promotion,HR,Novaryn Tech,Novaryn Tech - Lyon,People & Culture,SR-PAYROLL-OP,Payroll,Operations,Other,,Permanent,77.01
1004,2021-04-11,1,Hiring,Sales,Novaryn Tech,Novaryn Tech - Paris,Commercial,LEAD-CSM-SALES,Customer Success,Operations,LinkedIn,CTR-NVT-00004,Permanent,78.01
1005,2019-03-06,1,Hiring,Sales,Novaryn Tech,Novaryn Tech - Toulouse,Commercial,CONF-CSM-SALES,Customer Success,Operations,Welcome to the Jungle,CTR-NVT-00005,Permanent,75.84
1005,2025-04-02,2,Promotion,Sales,Novaryn Tech,Novaryn Tech - Toulouse,Commercial,LEAD-CSM-SALES,Customer Success,Operations,Other,,Permanent,88.78
1006,2013-08-05,1,Hiring,Engineering,Novaryn Tech,Novaryn Tech - Paris,Technology,ML-ENG,AI & Machine Learning,Technical,Other,CTR-NVT-00006,Internship,69.12
1006,2022-07-20,2,Promotion,Engineering,Novaryn Tech,Novaryn Tech - Paris,Technology,LEAD-ML-ENG,AI & Machine Learning,Technical,Other,,Internship,94.0
1007,2020-08-06,1,Hiring,Engineering,Novaryn Tech,Novaryn Tech - Toulouse,Technology,CONF-QA-ENG,Quality Assurance,Technical,Referral,CTR-NVT-00007,Permanent,83.35
1007,2023-07-17,2,Promotion,Engineering,Novaryn Tech,Novaryn Tech - Toulouse,Technology,SR-QA-ENG,Quality Assurance,Technical,Other,,Permanent,78.71
