user_id,start_date,event_reason,bonus,bonus_base_amount,carallowance,paygroup,paytype,payrollid,targetincentive
1001,2024-08-12,Hiring,1.58,34121.53,0.0,FR_NON_EXEMPT,Salary,PAY-NVT-1001,539.12
1002,2015-10-18,Hiring,9.23,72265.42,0.0,FR_EXEMPT,Salary,PAY-NVT-1002,6670.1
1002,2016-09-27,Data Change,12.3,98657.7,5400,FR_EXEMPT,Salary,PAY-NVT-1002-R,12134.9
1003,2013-09-28,Hiring,10.59,28256.14,0.0,FR_EXEMPT,Salary,PAY-NVT-1003,2992.33
1003,2014-08-30,Data Change,14.12,64855.46,0.0,FR_EXEMPT,Salary,PAY-NVT-1003-R,9157.59
1004,2021-04-11,Hiring,8.97,61512.35,0.0,FR_EXEMPT,Commission,PAY-NVT-1004,5517.66
1004,2022-03-04,Data Change,11.96,78546.01,4200,FR_EXEMPT,Commission,PAY-NVT-1004-R,9394.1
1005,2019-03-06,Hiring,12.86,51108.1,0.0,FR_EXEMPT,Commission,PAY-NVT-1005,6572.5
1005,2020-01-22,Data Change,17.14,62648.49,0.0,FR_EXEMPT,Commission,PAY-NVT-1005-R,10737.95
1006,2013-08-05,Hiring,8.23,52922.29,0.0,FR_EXEMPT,Salary,PAY-NVT-1006,4355.5
1006,2014-05-23,Data Change,10.97,131044.79,6000,FR_EXEMPT,Salary,PAY-NVT-1006-R,14375.61
1007,2020-08-06,Hiring,10.53,51328.78,0.0,FR_EXEMPT,Salary,PAY-NVT-1007,5404.92
1007,2021-05-26,Data Change,14.04,66939.33,0.0,FR_EXEMPT,Salary,PAY-NVT-1007-R,9398.28
1008,2015-05-20,Hiring,12.1,58506.25,0.0,FR_EXEMPT,Salary,PAY-NVT-1008,7079.26
1008,2016-06-02,Data Change,16.13,94532.13,4800,FR_EXEMPT,Salary,PAY-NVT-1008-R,15248.03
1009,2021-04-09,Hiring,7.39,38495.06,0.0,FR_EXEMPT,Salary,PAY-NVT-1009,2844.78
1009,2022-01-06,Data Change,9.86,54493.97,0.0,FR_EXEMPT,Salary,PAY-NVT-1009-R,5373.11
1010,2019-08-23,Hiring,6.82,40153.74,0.0,FR_EXEMPT,Salary,PAY-NVT-1010,2738.49
