user_id,formcontentid,reviewdate,rating,potential,lastpromotiondate,competencyscore,objectivecompletion,istopperformer
1002,FORM-2022,2022-12-15,3.15,Medium,2021-10-18,3.43,64.88,No
1002,FORM-2023,2023-12-15,3.59,Medium,2021-10-18,3.72,72.66,No
1002,FORM-2024,2024-12-15,4.06,High,2021-10-18,3.72,81.01,No
1003,FORM-2022,2022-12-15,2.71,Medium,2022-09-28,2.6,66.22,No
1003,FORM-2023,2023-12-15,3.21,Medium,2022-09-28,2.93,63.75,No
1003,FORM-2024,2024-12-15,4.28,High,2022-09-28,4.45,82.34,No
1004,FORM-2022,2022-12-15,4.7,High,2024-12-31,4.69,100.0,Yes
1004,FORM-2023,2023-12-15,4.65,High,2024-12-31,4.4,84.03,Yes
1004,FORM-2024,2024-12-15,4.12,High,2024-12-31,4.17,82.6,No
1005,FORM-2022,2022-12-15,3.53,Medium,2024-12-31,3.5,79.97,No
1005,FORM-2023,2023-12-15,1.89,Low,2024-12-31,2.21,39.35,No
1005,FORM-2024,2024-12-15,3.34,Medium,2024-12-31,3.1,74.19,No
1006,FORM-2022,2022-12-15,2.82,Medium,2019-08-05,2.85,63.23,No
1006,FORM-2023,2023-12-15,2.57,Medium,2019-08-05,2.65,53.26,No
1006,FORM-2024,2024-12-15,3.61,Medium,2019-08-05,3.49,75.71,No
1008,FORM-2022,2022-12-15,4.37,High,2024-05-20,4.29,99.9,No
1008,FORM-2023,2023-12-15,3.28,Medium,2024-05-20,3.11,72.82,No
1008,FORM-2024,2024-12-15,3.74,Medium,2024-05-20,3.51,72.12,No
1009,FORM-2022,2022-12-15,3.71,Medium,2024-04-09,3.91,68.64,No
1009,FORM-2023,2023-12-15,2.01,Low,2024-04-09,2.38,41.67,No
1009,FORM-2024,2024-12-15,2.74,Medium,2024-04-09,2.51,42.37,No
1010,FORM-2022,2022-12-15,1.84,Low,,1.92,33.84,No
1010,FORM-2023,2023-12-15,3.32,Medium,,3.55,62.85,No
1010,FORM-2024,2024-12-15,2.04,Low,,2.36,38.56,No
1012,FORM-2022,2022-12-15,5.0,High,2024-12-31,5.0,91.81,Yes
1012,FORM-2023,2023-12-15,2.83,Medium,2024-12-31,2.65,65.27,No
1012,FORM-2024,2024-12-15,3.73,Medium,2024-12-31,3.1,70.85,No
1013,FORM-2022,2022-12-15,2.8,Medium,2017-08-24,3.14,58.6,No
1013,FORM-2023,2023-12-15,2.88,Medium,2017-08-24,2.96,70.95,No
1013,FORM-2024,2024-12-15,3.48,Medium,2017-08-24,3.29,73.71,No
1014,FORM-2022,2022-12-15,3.52,Medium,2020-09-22,4.1,72.12,No
1014,FORM-2023,2023-12-15,2.79,Medium,2020-09-22,2.88,52.94,No
1014,FORM-2024,2024-12-15,3.03,Medium,2020-09-22,2.83,60.74,No
1015,FORM-2022,2022-12-15,2.67,Medium,2024-06-18,2.88,58.19,No
1015,FORM-2023,2023-12-15,2.57,Medium,2024-06-18,2.76,48.04,No
1015,FORM-2024,2024-12-15,4.11,High,2024-06-18,4.36,88.72,No
1016,FORM-2022,2022-12-15,3.7,Medium,2023-11-07,3.44,61.54,No
1016,FORM-2023,2023-12-15,3.47,Medium,2023-11-07,3.15,70.54,No
1016,FORM-2024,2024-12-15,2.66,Medium,2023-11-07,2.86,56.3,No
1017,FORM-2022,2022-12-15,3.21,Medium,2021-09-26,2.97,66.74,No
1017,FORM-2023,2023-12-15,4.29,High,2021-09-26,4.35,81.64,No
1017,FORM-2024,2024-12-15,3.93,Medium,2021-09-26,3.87,75.39,No
1018,FORM-2022,2022-12-15,2.7,Medium,2020-02-14,2.71,49.09,No
1018,FORM-2023,2023-12-15,3.34,Medium,2020-02-14,2.84,71.82,No
1018,FORM-2024,2024-12-15,3.12,Medium,2020-02-14,3.14,71.4,No
1019,FORM-2022,2022-12-15,4.63,High,2024-12-31,4.8,86.47,Yes
1019,FORM-2023,2023-12-15,3.81,Medium,2024-12-31,3.89,77.82,No
1019,FORM-2024,2024-12-15,3.92,Medium,2024-12-31,4.13,82.35,No
1020,FORM-2023,2023-12-15,3.11,Medium,,3.32,58.03,No
1020,FORM-2024,2024-12-15,2.34,Low,,2.34,49.28,No
1021,FORM-2022,2022-12-15,2.7,Medium,2018-04-09,2.7,52.01,No
1021,FORM-2023,2023-12-15,2.68,Medium,2018-04-09,2.78,59.06,No
1021,FORM-2024,2024-12-15,3.84,Medium,2018-04-09,4.1,74.45,No
1022,FORM-2023,2023-12-15,3.14,Medium,,2.78,65.29,No
1022,FORM-2024,2024-12-15,2.22,Low,,2.08,56.29,No
1023,FORM-2022,2022-12-15,3.64,Medium,2024-12-31,3.7,76.34,No
1023,FORM-2023,2023-12-15,3.84,Medium,2024-12-31,3.5,78.77,No
1023,FORM-2024,2024-12-15,3.68,Medium,2024-12-31,3.65,73.46,No
1024,FORM-2022,2022-12-15,3.63,Medium,2019-09-19,3.73,63.49,No
1024,FORM-2023,2023-12-15,3.51,Medium,2019-09-19,3.95,58.75,No
1024,FORM-2024,2024-12-15,2.94,Medium,2019-09-19,2.77,46.88,No
