user_id,event_reason,company,oktorehire,lastdateworked,bonuspayexpirationdate,termination_detailed_reason,termination_attachment
1019,RESIGNATION,Novaryn Tech,YES,2023-06-18,2023-08-07,Démission volontaire du salarié.,EXIT-1019-2023.pdf
1025,INVOLUNTARY,Novaryn Tech,NO,2024-06-27,2024-09-23,Licenciement pour motif économique ou personnel.,EXIT-1025-2024.pdf
1027,RESIGNATION,Novaryn Tech,YES,2025-05-14,2025-07-07,Démission volontaire du salarié.,EXIT-1027-2025.pdf
1028,NON_RENEWAL,Novaryn Tech,YES,2024-07-24,2024-09-26,Non-renouvellement du CDD à son terme.,EXIT-1028-2024.pdf
1029,RESIGNATION,Novaryn Tech,YES,2023-06-28,2023-09-08,Démission volontaire du salarié.,EXIT-1029-2023.pdf
1040,INVOLUNTARY,Novaryn Tech,NO,2024-03-08,2024-05-28,Licenciement pour motif économique ou personnel.,EXIT-1040-2024.pdf
1041,NON_RENEWAL,Novaryn Tech,YES,2025-06-10,2025-08-23,Non-renouvellement du CDD à son terme.,EXIT-1041-2025.pdf
1045,DEATH,Novaryn Tech,NO,2023-12-18,2024-02-11,Décès du salarié — acte transmis au service RH.,EXIT-1045-2023.pdf
1088,INVOLUNTARY,Novaryn Tech,NO,2024-10-28,2025-01-01,Licenciement pour motif économique ou personnel.,EXIT-1088-2024.pdf
1089,RESIGNATION,Novaryn Tech,YES,2025-05-21,2025-08-18,Démission volontaire du salarié.,EXIT-1089-2025.pdf
1109,INVOLUNTARY,Novaryn Tech,NO,2025-08-23,2025-10-28,Licenciement pour motif économique ou personnel.,EXIT-1109-2025.pdf
1113,RESIGNATION,Novaryn Tech,YES,2025-08-11,2025-11-06,Démission volontaire du salarié.,EXIT-1113-2025.pdf
1159,NON_RENEWAL,Novaryn Tech,YES,2025-11-14,2026-01-03,Non-renouvellement du CDD à son terme.,EXIT-1159-2025.pdf
1164,RESIGNATION,Novaryn Tech,YES,2025-09-25,2025-11-10,Démission volontaire du salarié.,EXIT-1164-2025.pdf
1177,DEATH,Novaryn Tech,NO,2025-05-14,2025-08-03,Décès du salarié — acte transmis au service RH.,EXIT-1177-2025.pdf
1190,INVOLUNTARY,Novaryn Tech,NO,2023-02-10,2023-03-19,Licenciement pour motif économique ou personnel.,EXIT-1190-2023.pdf
1195,RESIGNATION,Novaryn Tech,YES,2025-08-04,2025-09-11,Démission volontaire du salarié.,EXIT-1195-2025.pdf
1210,RETIREMENT,Novaryn Tech,YES,2025-10-18,2025-12-30,Départ à la retraite — droits validés.,EXIT-1210-2025.pdf
1227,RESIGNATION,Novaryn Tech,YES,2024-02-20,2024-05-14,Démission volontaire du salarié.,EXIT-1227-2024.pdf
1250,INVOLUNTARY,Novaryn Tech,NO,2023-02-14,2023-04-15,Licenciement pour motif économique ou personnel.,EXIT-1250-2023.pdf
