fonction,localisation,experience,management,diplome,secteur,salaire_min_k,salaire_moyen_k,salaire_max_k,note,source
CFO,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"52,42 K€","58,24 K€","72,80 K€",effectif,DataRecrutement
CFO,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"57,10 K€","63,44 K€","79,30 K€",effectif,DataRecrutement
CFO,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"61,78 K€","68,64 K€","85,80 K€",effectif,DataRecrutement
CFO,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"66,46 K€","73,84 K€","92,30 K€",effectif,DataRecrutement
CFO,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"71,14 K€","79,04 K€","98,80 K€",effectif,DataRecrutement
CFO,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"75,82 K€","84,24 K€","105,30 K€",effectif,DataRecrutement
CFO,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"89,86 K€","99,84 K€","124,80 K€",effectif,DataRecrutement
CFO,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"99,22 K€","110,24 K€","137,80 K€",effectif,DataRecrutement
CFO,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"122,62 K€","136,24 K€","170,30 K€",effectif,DataRecrutement
CFO,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"192,82 K€","214,24 K€","267,80 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"52,42 K€","58,24 K€","72,80 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"57,10 K€","63,44 K€","79,30 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"61,78 K€","68,64 K€","85,80 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"66,46 K€","73,84 K€","92,30 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"71,14 K€","79,04 K€","98,80 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"75,82 K€","84,24 K€","105,30 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"89,86 K€","99,84 K€","124,80 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"99,22 K€","110,24 K€","137,80 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"122,62 K€","136,24 K€","170,30 K€",effectif,DataRecrutement
Chief Technology Officer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"192,82 K€","214,24 K€","267,80 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"45,72 K€","50,80 K€","63,50 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"49,81 K€","55,34 K€","69,17 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"53,89 K€","59,88 K€","74,84 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"57,97 K€","64,41 K€","80,51 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"62,05 K€","68,95 K€","86,18 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"66,13 K€","73,48 K€","91,85 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"78,38 K€","87,09 K€","108,86 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"86,55 K€","96,16 K€","120,20 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"106,96 K€","118,84 K€","148,55 K€",effectif,DataRecrutement
Chief People Officer / DRH,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"168,19 K€","186,88 K€","233,60 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"46,37 K€","51,52 K€","64,40 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"50,51 K€","56,12 K€","70,15 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"54,65 K€","60,72 K€","75,90 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"58,79 K€","65,32 K€","81,65 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"62,93 K€","69,92 K€","87,40 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"67,07 K€","74,52 K€","93,15 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"79,49 K€","88,32 K€","110,40 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"87,77 K€","97,52 K€","121,90 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"108,47 K€","120,52 K€","150,65 K€",effectif,DataRecrutement
Chief Marketing Officer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"170,57 K€","189,52 K€","236,90 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"50,90 K€","56,56 K€","70,70 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"55,45 K€","61,61 K€","77,01 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"59,99 K€","66,66 K€","83,33 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"64,54 K€","71,71 K€","89,64 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"69,08 K€","76,76 K€","95,95 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"73,63 K€","81,81 K€","102,26 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"87,26 K€","96,96 K€","121,20 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"96,35 K€","107,06 K€","133,82 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"119,08 K€","132,31 K€","165,39 K€",effectif,DataRecrutement
Chief Product Officer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"187,25 K€","208,06 K€","260,07 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"59,98 K€","66,64 K€","83,30 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"65,33 K€","72,59 K€","90,74 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"70,69 K€","78,54 K€","98,17 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"76,04 K€","84,49 K€","105,61 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"81,40 K€","90,44 K€","113,05 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"86,75 K€","96,39 K€","120,49 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"102,82 K€","114,24 K€","142,80 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"113,53 K€","126,14 K€","157,68 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"140,30 K€","155,89 K€","194,86 K€",effectif,DataRecrutement
Chief Sales Officer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"220,63 K€","245,14 K€","306,43 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"54,94 K€","61,04 K€","76,30 K€",effectif,DataRecrutement
